date,country,city,value,level
2019-01-01,IN,Hyderabad,161,Bad Quality
2019-01-01,IN,Bhopal,175,Bad Quality
2019-01-01,IN,Chandigarh,163,Bad Quality
2019-01-01,IN,New Delhi,314,Bad Quality
2019-01-01,IN,Chennai,135,Bad Quality
2019-01-01,IN,Thiruvananthapuram,130,Bad Quality
2019-01-01,IN,Bengaluru,153,Bad Quality
2019-01-01,IN,Jaipur,166,Bad Quality
2019-01-01,IN,Mumbai,169,Bad Quality
2019-01-01,IN,Patna,388,Bad Quality
2019-01-01,IN,Kolkata,235,Bad Quality
2019-01-01,IN,Visakhapatnam,172,Bad Quality
2019-01-01,IN,Lucknow,305,Bad Quality
2019-01-01,IN,Gandhinagar,172,Bad Quality
2019-01-02,IN,Chennai,93,Good Quality
2019-01-02,IN,Mumbai,153,Bad Quality
2019-01-02,IN,Jaipur,122,Bad Quality
2019-01-02,IN,Visakhapatnam,138,Bad Quality
2019-01-02,IN,Bhopal,164,Bad Quality
2019-01-02,IN,Lucknow,205,Bad Quality
2019-01-02,IN,Gandhinagar,159,Bad Quality
2019-01-02,IN,Thiruvananthapuram,105,Bad Quality
2019-01-02,IN,Patna,212,Bad Quality
2019-01-02,IN,Kolkata,208,Bad Quality
2019-01-02,IN,Bengaluru,132,Bad Quality
2019-01-02,IN,New Delhi,217,Bad Quality
2019-01-02,IN,Chandigarh,116,Bad Quality
2019-01-02,IN,Hyderabad,157,Bad Quality
2019-01-03,IN,Patna,137,Bad Quality
2019-01-03,IN,Thiruvananthapuram,92,Good Quality
2019-01-03,IN,Gandhinagar,113,Bad Quality
2019-01-03,IN,Hyderabad,137,Bad Quality
2019-01-03,IN,Chennai,99,Good Quality
2019-01-03,IN,Visakhapatnam,48,Good Quality
2019-01-03,IN,Mumbai,153,Bad Quality
2019-01-03,IN,Jaipur,107,Bad Quality
2019-01-03,IN,Bhopal,74,Good Quality
2019-01-03,IN,Chandigarh,113,Bad Quality
2019-01-03,IN,Lucknow,157,Bad Quality
2019-01-03,IN,Kolkata,147,Bad Quality
2019-01-03,IN,Bengaluru,148,Bad Quality
2019-01-04,IN,Patna,136,Bad Quality
2019-01-04,IN,Jaipur,105,Bad Quality
2019-01-04,IN,Bhopal,99,Good Quality
2019-01-04,IN,Bengaluru,125,Bad Quality
2019-01-04,IN,Kolkata,89,Good Quality
2019-01-04,IN,Chandigarh,109,Bad Quality
2019-01-04,IN,Thiruvananthapuram,111,Bad Quality
2019-01-04,IN,Gandhinagar,165,Bad Quality
2019-01-04,IN,Visakhapatnam,115,Bad Quality
2019-01-04,IN,Mumbai,81,Good Quality
2019-01-04,IN,Lucknow,151,Bad Quality
2019-01-04,IN,Chennai,89,Good Quality
2019-01-04,IN,New Delhi,129,Bad Quality
2019-01-04,IN,Hyderabad,93,Good Quality
2019-01-05,IN,Jaipur,153,Bad Quality
2019-01-05,IN,Patna,138,Bad Quality
2019-01-05,IN,Mumbai,79,Good Quality
2019-01-05,IN,Thiruvananthapuram,75,Good Quality
2019-01-05,IN,Gandhinagar,184,Bad Quality
2019-01-05,IN,Visakhapatnam,45,Good Quality
2019-01-05,IN,Chennai,119,Bad Quality
2019-01-05,IN,Bengaluru,89,Good Quality
2019-01-05,IN,Kolkata,55,Good Quality
2019-01-05,IN,Chandigarh,103,Bad Quality
2019-01-05,IN,New Delhi,176,Bad Quality
2019-01-05,IN,Hyderabad,102,Bad Quality
2019-01-05,IN,Lucknow,210,Bad Quality
2019-01-05,IN,Bhopal,114,Bad Quality
2019-01-06,IN,Hyderabad,99,Good Quality
2019-01-06,IN,New Delhi,163,Bad Quality
2019-01-06,IN,Bengaluru,76,Good Quality
2019-01-06,IN,Thiruvananthapuram,69,Good Quality
2019-01-06,IN,Kolkata,98,Good Quality
2019-01-06,IN,Patna,145,Bad Quality
2019-01-06,IN,Gandhinagar,116,Bad Quality
2019-01-06,IN,Bhopal,97,Good Quality
2019-01-06,IN,Chandigarh,143,Bad Quality
2019-01-06,IN,Lucknow,157,Bad Quality
2019-01-06,IN,Mumbai,50,Good Quality
2019-01-06,IN,Visakhapatnam,125,Bad Quality
2019-01-06,IN,Jaipur,146,Bad Quality
2019-01-06,IN,Chennai,91,Good Quality
2019-01-07,IN,Thiruvananthapuram,37,Good Quality
2019-01-07,IN,Patna,130,Bad Quality
2019-01-07,IN,Shillong,92,Good Quality
2019-01-07,IN,Bengaluru,71,Good Quality
2019-01-07,IN,Visakhapatnam,97,Good Quality
2019-01-07,IN,Bhopal,40,Good Quality
2019-01-07,IN,Lucknow,150,Bad Quality
2019-01-07,IN,Chandigarh,149,Bad Quality
2019-01-07,IN,Gandhinagar,92,Good Quality
2019-01-07,IN,Chennai,78,Good Quality
2019-01-07,IN,Jaipur,94,Good Quality
2019-01-07,IN,New Delhi,151,Bad Quality
2019-01-07,IN,Hyderabad,61,Good Quality
2019-01-07,IN,Mumbai,32,Good Quality
2019-01-07,IN,Kolkata,80,Good Quality
2019-01-08,IN,Shillong,49,Good Quality
2019-01-08,IN,Bengaluru,55,Good Quality
2019-01-08,IN,Kolkata,68,Good Quality
2019-01-08,IN,Mumbai,35,Good Quality
2019-01-08,IN,New Delhi,89,Good Quality
2019-01-08,IN,Thrissur,37,Good Quality
2019-01-08,IN,Jaipur,81,Good Quality
2019-01-08,IN,Bhopal,13,Good Quality
2019-01-08,IN,Visakhapatnam,78,Good Quality
2019-01-08,IN,Lucknow,120,Bad Quality
2019-01-08,IN,Hyderabad,41,Good Quality
2019-01-08,IN,Chandigarh,81,Good Quality
2019-01-08,IN,Chennai,83,Good Quality
2019-01-08,IN,Thiruvananthapuram,52,Good Quality
2019-01-08,IN,Patna,123,Bad Quality
2019-01-08,IN,Gandhinagar,72,Good Quality
2019-01-09,IN,Patna,142,Bad Quality
2019-01-09,IN,Jaipur,88,Good Quality
2019-01-09,IN,Thiruvananthapuram,38,Good Quality
2019-01-09,IN,Lucknow,124,Bad Quality
2019-01-09,IN,Bhopal,70,Good Quality
2019-01-09,IN,Gandhinagar,79,Good Quality
2019-01-09,IN,Chennai,82,Good Quality
2019-01-09,IN,Thrissur,38,Good Quality
2019-01-09,IN,New Delhi,72,Good Quality
2019-01-09,IN,Mumbai,34,Good Quality
2019-01-09,IN,Chandigarh,100,Bad Quality
2019-01-09,IN,Hyderabad,46,Good Quality
2019-01-09,IN,Bengaluru,56,Good Quality
2019-01-09,IN,Kolkata,97,Good Quality
2019-01-09,IN,Shillong,77,Good Quality
2019-01-10,IN,Chennai,76,Good Quality
2019-01-10,IN,Gandhinagar,66,Good Quality
2019-01-10,IN,New Delhi,91,Good Quality
2019-01-10,IN,Bhopal,54,Good Quality
2019-01-10,IN,Thrissur,37,Good Quality
2019-01-10,IN,Chandigarh,68,Good Quality
2019-01-10,IN,Hyderabad,95,Good Quality
2019-01-10,IN,Lucknow,86,Good Quality
2019-01-10,IN,Thrissur,37,Good Quality
2019-01-10,IN,Chandigarh,68,Good Quality
2019-01-10,IN,Bhopal,54,Good Quality
2019-01-10,IN,New Delhi,91,Good Quality
2019-01-10,IN,Hyderabad,95,Good Quality
