state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,09-05-2021,34363,34327,34399,5,4.96,5.05,689614,688837,690391,
CW,10-05-2021,34717,34694,34740,5.05,4.99,5.1,690710,689975,691444,
CW,11-05-2021,34652,34606,34699,5.01,4.93,5.08,695233,694521,695945,
CW,12-05-2021,33754,33727,33780,4.86,4.81,4.92,696895,696186,697604,
CW,13-05-2021,32868,32835,32901,4.73,4.67,4.79,697643,696984,698302,
CW,14-05-2021,31767,31735,31799,4.58,4.52,4.64,696497,695756,697239,
CW,15-05-2021,30650,30621,30679,4.44,4.38,4.49,693437,692765,694109,
CW,16-05-2021,30200,30180,30220,4.4,4.36,4.44,689488,688960,690017,
CW,17-05-2021,30413,30392,30434,4.43,4.4,4.46,688946,688732,689161,
CW,18-05-2021,30106,30092,30119,4.36,4.34,4.37,694022,693797,694246,
CW,19-05-2021,29821,29808,29834,4.3,4.27,4.32,696847,696518,697176,
CW,20-05-2021,28615,28568,28661,4.12,4.05,4.19,697499,697172,697826,
CW,21-05-2021,27999,27953,28046,4.03,3.96,4.1,697922,697378,698466,
CW,22-05-2021,27033,27012,27053,3.91,3.87,3.94,695096,694767,695425,
CW,23-05-2021,26693,26665,26720,3.88,3.83,3.93,691255,690819,691692,
CW,24-05-2021,26995,26960,27029,3.93,3.86,4,689782,688973,690591,
CW,25-05-2021,27069,27050,27088,3.92,3.87,3.96,694272,693688,694857,
CW,26-05-2021,26275,26257,26292,3.79,3.75,3.83,695976,695410,696541,
CW,27-05-2021,25617,25595,25640,3.69,3.65,3.74,696356,695882,696831,
CW,28-05-2021,24991,24956,25027,3.61,3.55,3.67,694864,694529,695199,
CW,29-05-2021,23825,23798,23853,3.46,3.41,3.51,691532,691091,691972,
CW,30-05-2021,23158,23110,23205,3.38,3.3,3.46,688940,688472,689409,
CW,31-05-2021,23271,23237,23304,3.4,3.35,3.45,688298,688092,688505,
CW,01-06-2021,23492,23462,23522,3.42,3.38,3.47,689274,689097,689451,
CW,02-06-2021,23040,23010,23071,3.33,3.29,3.38,694437,694289,694585,
CW,03-06-2021,22566,22529,22602,3.26,3.21,3.3,695586,695146,696026,
CW,04-06-2021,21650,21617,21684,3.13,3.08,3.17,694979,694358,695600,
CW,05-06-2021,20792,20703,20880,3.02,2.86,3.17,692464,691102,693826,
CW,06-06-2021,20463,20350,20576,2.98,2.78,3.18,689202,687650,690754,
CW,07-06-2021,20494,20367,20622,2.98,2.76,3.21,689669,687851,691486,
CW,08-06-2021,20332,20181,20483,2.95,2.67,3.23,693020,690473,695567,
AL,09-05-2021,501,501,501,3.61,3.61,3.61,13860,13860,13860,POINT (-86.844516 32.756889)
AR,09-05-2021,175,175,175,2.32,2.32,2.32,7540,7540,7540,POINT (-92.439162 34.899825)
CA,09-05-2021,1786,1772,1800,3.15,2.96,3.34,56751,56026,57476,POINT (-119.662127 37.211164)
CT,09-05-2021,327,327,327,4.2,4.2,4.2,7790,7790,7790,POINT (-72.738288 41.575155)
DC,09-05-2021,159,159,159,5.89,5.89,5.89,2701,2701,2701,POINT (-77.016275 38.904785)
GA,09-05-2021,1224,1224,1224,6.36,6.36,6.36,19253,19253,19253,POINT (-83.426574 32.638481)
