station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
ALBANY AP,NY,42.7431,-73.8092,95.1,2017-01-01,20.12,37.94,35.42,6.934514,320,27.066974,0.1181103,1.181103,0.0393701
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-01,-5.8,19.22,14.18,6.71082,320,34.001488,0.7086618,14.173236,0.01968505
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,2017-01-01,2.12,16.16,11.3,7.82929,320,21.922012,1.8110246,3.93701,0.07086618
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-01-01,13.1,37.04,29.48,3.579104,300,23.935258,1.6141741,9.0157529,0.12992133
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-01-01,18.14,42.08,34.52,6.71082,290,29.974996,0.1968505,14.173236,0.01968505
PENDLETON,OR,45.6906,-118.8528,461.8,2017-01-01,26.24,37.04,34.16,11.632088,250,40.041226,0.9055123,1.181103,0.07086618
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-01-01,24.26,35.06,32.72,3.579104,240,10.06623,1.8897648,1.968505,0.22047256
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,2017-01-01,22.1,27.14,24.44,7.82929,220,18.119214,0.1968505,1.968505,0.01181103
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-01-01,20.12,35.96,26.06,20.356154,200,36.90951,3.1102379,7.086618,0.31889781
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,2017-01-01,10.22,30.2,21.02,6.487126,190,23.040482,0.3149608,1.968505,0.01968505
NOME MUNI AP,AK,64.5111,-165.44,4,2017-01-01,30.2,33.98,33.26,17.224438,160,38.922756,1.181103,18.897648,0.18897648
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-01,2.12,19.22,12.38,2.23694,140,14.092722,0.3149608,7.086618,0.01181103
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,2017-01-01,-1.84,21.2,9.14,8.052984,120,29.08022,1.1023628,9.842525,0.05118113
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,2017-01-01,17.24,27.14,23.54,11.408394,80,21.922012,0.3149608,1.968505,0.01968505
BISMARCK,ND,46.7708,-100.7603,505.4,2017-01-01,15.26,27.14,21.38,8.94776,80,23.040482,1.8110246,12.992133,0.05905515
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-01,9.14,23.18,17.6,15.65858,70,31.093466,2.2834658,1.181103,0.11023628
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,2017-01-01,9.14,25.16,20.84,16.105968,40,42.949248,1.4173236,11.023628,0.14173236
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,2017-01-01,19.22,26.24,22.82,9.171454,40,31.988242,4.4094512,3.93701,0.20078751
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,2017-01-01,9.14,22.1,16.88,14.987498,40,31.988242,0.9842525,1.968505,0.03149608
BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,2017-01-01,6.26,18.14,15.44,9.618842,30,27.066974,1.4173236,7.87402,0.0393701
YAKIMA AIR TERMINAL,WA,46.5683,-120.5428,324.3,2017-01-01,15.26,31.1,23.36,8.052984,30,33.106712,5.9842552,7.87402,0.29133874
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,2017-01-01,4.1,18.14,14.72,12.079476,20,31.093466,3.3070884,1.181103,0.25984266
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,2017-01-01,28.22,37.04,34.88,9.618842,10,19.01399,2.9921276,1.968505,0.42913409
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,2017-01-02,7.16,17.24,15.8,16.105968,360,38.02798,4.0944904,7.086618,0.20078751
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,2017-01-02,22.1,30.2,24.44,7.82929,360,23.040482,1.181103,1.968505,0.05118113
BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,2017-01-02,-5.8,7.16,6.08,6.71082,360,19.908766,1.6929143,9.842525,0.0787402
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627,2017-01-02,0.14,13.1,12.38,7.82929,350,23.040482,1.4173236,1.181103,0.05905515
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,2017-01-02,0.14,17.24,14.54,20.13246,350,42.949248,2.2834658,3.93701,0.05905515
PENDLETON,OR,45.6906,-118.8528,461.8,2017-01-02,21.2,26.24,25.52,6.71082,340,12.079476,0.787402,1.968505,0.0393701
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,2017-01-02,19.22,30.2,23.54,6.039738,330,23.040482,6.8110273,7.87402,0.29133874
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,2017-01-02,13.1,22.1,19.22,12.526864,320,23.935258,9.2126034,9.842525,0.59842552
BISMARCK,ND,46.7708,-100.7603,505.4,2017-01-02,3.2,15.26,13.82,14.54011,320,29.08022,7.7952798,14.173236,0.29921276
PIERRE RGNL AP,SD,44.3814,-100.2856,531,2017-01-02,6.26,26.24,23.18,15.434886,320,36.014734,1.181103,1.968505,0.1181103
ABERDEEN,SD,45.4558,-98.4131,396.8,2017-01-02,7.16,23.18,21.56,12.079476,310,21.027236,2.2047256,1.181103,0.16141741
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,2017-01-02,19.22,32,25.52,9.171454,180,19.908766,1.2992133,3.149608,0.05905515
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-02,12.2,24.26,16.52,2.908022,170,10.961006,0.9055123,7.086618,0.03149608
NOME MUNI AP,AK,64.5111,-165.44,4,2017-01-02,26.24,32,30.56,11.408394,170,33.106712,0.9055123,20.078751,0.09842525
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,2017-01-02,28.22,35.06,32.72,16.105968,160,35.119958,0.5905515,14.960638,0.07086618
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-01-02,22.1,33.08,21.38,2.23694,150,12.079476,2.5196864,18.897648,0.18110246
DULUTH,MN,46.8369,-92.2097,435.3,2017-01-02,17.24,31.1,21.92,14.763804,100,27.96175,0.9842525,9.055123,0.09842525
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,2017-01-02,27.14,32,28.22,11.632088,100,23.935258,0.3149608,3.93701,0.14173236
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-02,6.26,17.24,8.24,9.171454,70,21.027236,3.1889781,12.992133,0.25196864
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,2017-01-02,31.1,37.04,33.26,4.921268,70,17.000744,0.3149608,3.93701,0.22047256
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,2017-01-02,-10.84,10.22,9.14,8.500372,30,23.935258,2.4015761,3.149608,0.0787402
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,2017-01-02,-11.74,10.22,8.78,5.144962,30,18.119214,1.181103,1.968505,0.01181103
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,2017-01-02,-12.82,4.1,1.58,4.921268,20,14.092722,0.3149608,3.93701,0.0393701
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-02,2.12,19.22,15.44,4.921268,20,12.974252,1.6929143,9.055123,0.07086618
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,2017-01-03,-9.76,7.16,5.36,21.25093,330,42.054472,0.7086618,11.023628,0.07086618
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,2017-01-03,-6.88,19.22,15.44,11.408394,300,29.08022,6.1811057,18.897648,0.29921276
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,2017-01-03,17.24,25.16,18.68,1.11847,290,8.052984,1.181103,7.87402,0.09842525
DULUTH,MN,46.8369,-92.2097,435.3,2017-01-03,-2.74,31.1,24.26,17.000744,280,35.119958,0.7086618,9.055123,0.05905515
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-03,29.12,33.08,31.28,4.697574,270,19.01399,0.393701,14.173236,0.0393701
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-01-03,29.12,33.98,30.38,2.908022,220,19.01399,2.5984266,7.87402,0.18897648
CHEYENNE,WY,41.1519,-104.8061,1867.8,2017-01-03,6.26,18.14,9.86,6.487126,210,18.119214,0.7086618,1.968505,0.05118113
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-01-03,20.12,32,30.74,4.697574,170,16.105968,2.2834658,20.866153,0.18897648
BETHEL AP,AK,60.785,-161.8292,31.1,2017-01-03,31.1,35.96,35.42,11.1847,150,23.040482,1.4960638,1.968505,0.31889781
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,2017-01-03,17.24,27.14,24.08,5.816044,140,19.01399,0.5905515,9.055123,0.01181103
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,2017-01-03,23.18,35.96,27.5,7.381902,40,25.948504,0.9055123,3.93701,0.03149608
POCATELLO RGNL AP,ID,42.9203,-112.5711,1364.9,2017-01-03,-2.74,17.24,7.88,4.026492,30,14.092722,2.5196864,9.842525,0.12992133
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,2017-01-03,-6.88,17.24,1.22,2.460634,30,8.94776,0.9842525,18.110246,0.05905515
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,2017-01-04,21.2,33.98,29.84,12.079476,360,31.093466,0.5905515,0.9842525,0.0787402
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-01-04,31.1,35.06,32.54,6.71082,350,23.935258,0.1181103,7.9921303,0.57086645
NORTH PLATTE RGNL AP,NE,41.1214,-100.6694,846.7,2017-01-04,3.2,11.12,8.42,3.579104,340,12.079476,6.4173263,3.149608,0.22047256
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,2017-01-04,10.22,21.2,15.98,7.605596,330,16.105968,1.4960638,1.968505,0.14960638
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-01-04,2.12,31.1,28.58,0.894776,310,8.052984,1.4960638,11.023628,0.0787402
SCOTTSBLUFF HEILIG AP,NE,41.8706,-103.5931,1202.4,2017-01-04,5.18,10.22,8.78,8.94776,300,17.000744,5.118113,3.149608,0.31889781
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,2017-01-04,-14.8,5.18,-6.34,8.724066,300,27.96175,0.3149608,5.118113,0.01181103
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-01-04,14.18,32,24.62,15.211192,290,38.922756,2.7165369,14.173236,0.25984266
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,2017-01-04,18.14,31.1,24.26,19.908766,290,44.962494,0.1968505,14.960638,0.01181103
